,id,district,division,bureau
742,743,8D,TP,
743,744,3D,3D,PSB
744,745,6D,6D,PSB
745,746,2D,2D,PSB
746,747,1D,1D,PSB
747,748,1D,1D,PSB
748,749,1D,1D,PSB
749,750,4D,4D,PSB
750,751,5D,5D,PSB
751,752,1D,RCPD,
752,753,3D,3D,PSB
753,754,4D,4D,PSB
754,755,1D,1D,PSB
755,756,1D,RPD,
756,757,2D,2D,PSB
757,758,2D,MCSO,
758,759,3D,3D,PSB
759,760,6D,GPD,
760,761,4D,4D,PSB
761,762,2D,2D,PSB
762,763,6D,GPD,
763,764,3D,3D,PSB
764,765,2D,2D,PSB
765,766,8D,TPPD,
766,767,1D,,
767,768,3D,MCSO,
768,769,6D,GPD,
769,770,5D,5D,PSB
770,771,6D,GPD,
771,772,1D,1D,PSB
772,773,3D,3D,PSB
773,774,1D,RCPD,
774,775,6D,GPD,
775,776,3D,3D,PSB
776,777,8D,,
777,778,3D,3D,PSB
778,779,4D,4D,PSB
779,780,8D,TP,
780,781,5D,5D,PSB
781,782,3D,3D,PSB
782,783,6D,6D,PSB
783,784,4D,4D,PSB
784,785,3D,3D,PSB
785,786,6D,,
786,787,6D,,
787,788,1D,,
788,789,6D,GPD,
789,790,6D,MCSO,
790,791,3D,3D,PSB
791,792,5D,5D,PSB
792,793,3D,3D,PSB
793,794,6D,6D,PSB
794,795,4D,4D,PSB
795,796,8D,TP,
796,797,3D,3D,PSB
797,798,1D,,
798,799,6D,6D,PSB
799,800,1D,1D,PSB
800,801,6D,6D,PSB
801,802,1D,RPD,
802,803,6D,,
803,804,4D,4D,PSB
804,805,1D,RCPD,
805,806,4D,4D,PSB
806,807,5D,5D,PSB
807,808,3D,3D,PSB
808,809,6D,,
809,810,6D,6D,PSB
810,811,4D,4D,PSB
811,812,5D,5D,PSB
812,813,2D,2D,PSB
813,814,5D,5D,PSB
814,815,1D,,
815,816,4D,4D,PSB
816,817,3D,3D,PSB
817,818,8D,,
818,819,3D,MCSO,
819,820,3D,3D,PSB
820,821,2D,2D,PSB
821,822,3D,3D,PSB
822,823,5D,5D,PSB
823,824,2D,2D,PSB
824,825,4D,4D,PSB
825,826,4D,4D,PSB
826,827,3D,3D,PSB
827,828,2D,2D,PSB
828,829,3D,3D,PSB
829,830,5D,5D,PSB
830,831,6D,,
831,832,2D,2D,PSB
832,833,3D,3D,PSB
833,834,6D,6D,PSB
834,835,6D,GPD,
835,836,6D,6D,PSB
836,837,3D,3D,PSB
837,838,1D,1D,PSB
838,839,6D,6D,PSB
839,840,6D,6D,PSB
840,841,6D,6D,PSB
841,842,4D,4D,PSB
842,843,3D,3D,PSB
843,844,6D,,
844,845,3D,3D,PSB
845,846,1D,RCPD,
846,847,1D,CED,FSB
847,848,1D,1D,PSB
848,849,4D,MCSO,
849,850,6D,6D,PSB
