,id,race,gender,age,ethnicity,district,division,bureau
371,372,White,Male,33,HISPANIC,4,4D,PSB
372,373,Black/African American,Male,22,NON-HISPANIC,2,2D,PSB
373,374,White,Male,45,NON-HISPANIC,4,4D,PSB
374,375,White,Male,42,NON-HISPANIC,6,6D,PSB
375,376,White,Male,39,NON-HISPANIC,6,6D,PSB
376,377,White,Male,39,NON-HISPANIC,6,6D,PSB
377,378,Black/African American,Male,50,NON-HISPANIC,3,3D,PSB
378,379,White,Male,19,NON-HISPANIC,1,TOD,FSB
379,380,White,Male,18,NON-HISPANIC,2,TOD,FSB
380,381,White,Female,21,NON-HISPANIC,2,TOD,FSB
381,382,White,Female,21,NON-HISPANIC,2,TOD,FSB
382,383,White,Male,18,NON-HISPANIC,2,TOD,FSB
383,384,White,Female,18,NON-HISPANIC,2,TOD,FSB
384,385,Asian,Female,19,NON-HISPANIC,2,TOD,FSB
385,386,White,Female,19,NON-HISPANIC,2,TOD,FSB
386,387,White,Male,18,NON-HISPANIC,2,TOD,FSB
387,388,White,Male,22,HISPANIC,4,4D,PSB
388,389,White,Male,54,HISPANIC,3,3D,PSB
389,390,White,Male,18,NON-HISPANIC,5,5D,PSB
390,391,Black/African American,Male,23,NON-HISPANIC,4,4D,PSB
391,392,White,Male,40,HISPANIC,1,RCPD,
392,393,White,Male,61,HISPANIC,1,RCPD,
393,394,White,Male,24,HISPANIC,,4D,PSB
394,395,White,Male,24,HISPANIC,4,4D,PSB
395,396,White,Male,32,HISPANIC,4,4D,PSB
396,397,Asian,Male,34,NON-HISPANIC,4,4D,PSB
397,398,Black/African American,Female,34,NON-HISPANIC,5,5D,PSB
398,399,White,Male,29,HISPANIC,4,4D,PSB
399,400,White,Male,45,HISPANIC,4,4D,PSB
400,401,White,Male,33,HISPANIC,4,4D,PSB
401,402,White,Male,38,HISPANIC,4,4D,PSB
402,403,White,Female,39,HISPANIC,4,4D,PSB
403,404,White,Male,47,HISPANIC,4,4D,PSB
404,405,White,Male,30,NON-HISPANIC,3,3D,PSB
405,406,White,Male,38,NON-HISPANIC,4,4D,PSB
406,407,White,Male,38,NON-HISPANIC,4,4D,PSB
407,408,White,Female,19,HISPANIC,3,3D,PSB
408,409,White,Male,50,HISPANIC,3,3D,PSB
409,410,White,Male,50,HISPANIC,3,3D,PSB
410,411,White,Male,33,HISPANIC,3,3D,PSB
411,412,White,Male,49,HISPANIC,3,3D,PSB
412,413,Black/African American,Male,41,NON-HISPANIC,4,4D,PSB
413,414,White,Male,22,NON-HISPANIC,4,4D,PSB
414,415,Black/African American,Male,43,NON-HISPANIC,4,4D,PSB
415,416,White,Male,17,NON-HISPANIC,4,CED,FSB
416,417,White,Female,39,NON-HISPANIC,4,CED,FSB
417,418,White,Male,44,HISPANIC,4,4D,PSB
418,419,White,Male,44,HISPANIC,4,4D,PSB
419,420,White,Male,44,HISPANIC,4,4D,PSB
420,421,White,Male,41,HISPANIC,4,4D,PSB
421,422,White,Male,30,HISPANIC,3,3D,PSB
422,423,White,Male,61,HISPANIC,1,RCPD,
423,424,White,Male,59,HISPANIC,1,RCPD,
424,425,White,Male,34,NON-HISPANIC,3,3D,PSB
425,426,Asian,Female,18,NON-HISPANIC,5,TOD,FSB
426,427,Black/African American,Male,30,NON-HISPANIC,5,TOD,FSB
427,428,White,Male,31,NON-HISPANIC,6,TOD,FSB
428,429,White,Male,30,NON-HISPANIC,4,4D,PSB
429,430,White,Male,22,HISPANIC,4,4D,PSB
430,431,White,Male,35,HISPANIC,4,4D,PSB
431,432,White,Male,48,HISPANIC,3,3D,PSB
432,433,White,Male,26,HISPANIC,3,3D,PSB
433,434,White,Male,18,NON-HISPANIC,4,4D,PSB
434,435,White,Male,18,NON-HISPANIC,4,4D,PSB
435,436,White,Male,38,HISPANIC,4,4D,PSB
436,437,White,Male,25,HISPANIC,4,4D,PSB
437,438,White,Male,37,HISPANIC,4,4D,PSB
438,439,White,Male,45,NON-HISPANIC,4,4D,PSB
439,440,White,Male,37,HISPANIC,4,4D,PSB
440,441,Black/African American,Male,17,NON-HISPANIC,3,3D,PSB
441,442,Asian,Female,19,NON-HISPANIC,3,3D,PSB
442,443,White,Female,18,NON-HISPANIC,3,3D,PSB
443,444,Black/African American,Female,18,NON-HISPANIC,3,3D,PSB
444,445,Black/African American,Male,20,NON-HISPANIC,3,3D,PSB
445,446,Black/African American,Male,19,NON-HISPANIC,3,3D,PSB
