,month,shift_1,shift_2,shift_3,traffic,criminal,released_personal_recognizance,released_unsecured_bond,committed_with_bond,district_court_bench_warrant,district_court_arrest_warrant,on_view_arrest_soc,circuit_court_warrant
65,2017-05-01T00:00:00.000,299,271,363,193,933,216,188,283,428,139,309,52
66,2017-04-01T00:00:00.000,288,287,304,199,879,196,165,275,424,150,263,41
67,2017-03-01T00:00:00.000,313,299,334,197,946,198,250,297,413,162,309,55
68,2017-02-01T00:00:00.000,319,267,320,213,906,261,210,221,422,150,292,47
69,2017-01-01T00:00:00.000,333,266,336,195,935,212,264,168,383,182,298,60
70,2016-12-01T00:00:00.000,282,260,314,181,856,,,,,,,
71,2016-11-01T00:00:00.000,309,260,312,155,881,,,,,,,
72,2016-10-01T00:00:00.000,321,267,348,211,936,,,,,,,
73,2016-09-01T00:00:00.000,339,287,340,207,966,,,,,,,
74,2016-08-01T00:00:00.000,307,309,367,247,983,,,,,,,
75,2016-07-01T00:00:00.000,326,288,366,210,980,,,,,,,
