,fall_term,student_type,student_status,gender,ethnicity,race,attending_germantown,attending_rockville,attending_takoma_park_ss,attend_day_or_evening,mc_program_description,age_group,hs_category,city_in_md,state,zip,county_in_md,mcps_high_school
855,2015,Continuing,Part-Time,Female,Hispanic,Hispanic,No,Yes,No,Evening Only,General Studies (AA - All Tracks),21 - 24,MCPS,Kensington,MD,20895,Montgomery,Albert Einstein HS & MC Art Cn
856,2015,New,Part-Time,Male,Not Hispanic,Asian,No,Yes,No,Day Only,Computer Science - Computer Programming (CT),20 or Younger,Other State,Washington,DC,20017,Other,
857,2015,Continuing,Part-Time,Male,Not Hispanic,White,No,No,Yes,No Specific Time[online],General Studies (AA - All Tracks),25 - 29,MCPS,Potomac,MD,20854,Montgomery,Thomas Sprigg Wootton High Sch
858,2015,New,Part-Time,Male,Not Hispanic,Black,No,No,Yes,Day & Evening,Science (AS - All Tracks),20 or Younger,Other State,Washington,DC,20018,Other,
859,2015,Continuing,Part-Time,Male,Not Hispanic,Black,No,No,Yes,Day Only,"Graphic Design (AA, AAS, & AFA - All Tracks)",20 or Younger,Other State,Washington,DC,20011,Other,
860,2015,Continuing,Part-Time,Female,Not Hispanic,Black,No,Yes,Yes,Evening Only,Health Sciences (Pre-Clinical Studies),30 or Older,Other State,Germantown,MD,20876,Montgomery,
861,2015,New,Full-Time,Female,Hispanic,White,No,No,Yes,Day Only,Education / Teacher Education (AA & AAT),20 or Younger,MCPS,Silver Spring,MD,20902,Montgomery,Wheaton High School
862,2015,Continuing,Full-Time,Female,Hispanic,Hispanic,No,Yes,No,Day Only,Communication Studies (AA),21 - 24,MCPS,Silver Spring,MD,20902,Montgomery,Albert Einstein HS & MC Art Cn
863,2015,Continuing,Part-Time,Male,Not Hispanic,White,No,Yes,Yes,No Specific Time[online],General Studies (AA - All Tracks),21 - 24,MCPS,Derwood,MD,20855,Montgomery,Colonel Zadok Magruder HS
864,2015,Continuing,Part-Time,Female,Hispanic,White,No,Yes,No,Day Only,Criminal Justice (AA & AAS),20 or Younger,MCPS,Rockville,MD,20852,Montgomery,John F. Kennedy High School
865,2015,Continuing,Full-Time,Female,Not Hispanic,Black,No,Yes,No,Day Only,Business / International Business (AA),20 or Younger,MCPS,Silver Spring,MD,20904,Montgomery,James Hubert Blake High School
866,2015,Continuing,Part-Time,Male,Hispanic,White,Yes,No,No,Day & Evening,General Studies (AA - All Tracks),20 or Younger,MCPS,Clarksburg,MD,20871,Montgomery,Richard Montgomery High School
867,2015,Continuing,Part-Time,Male,Not Hispanic,White,No,Yes,No,Day & Evening,General Studies (AA - All Tracks),25 - 29,MCPS,Chevy Chase,MD,20815,Montgomery,Walt Whitman High School
868,2015,Continuing,Part-Time,Male,Not Hispanic,White,No,Yes,No,Day Only,General Studies (AA - All Tracks),25 - 29,MCPS,Silver Spring,MD,20906,Montgomery,John F. Kennedy High School
869,2015,Continuing,Part-Time,Female,Not Hispanic,White,Yes,No,No,Day Only,Computer Science & Technologies (AA - All Tracks),20 or Younger,MCPS,Germantown,MD,20874,Montgomery,Quince Orchard Sr High School
870,2015,Continuing,Full-Time,Female,Not Hispanic,Black,No,Yes,No,Day Only,General Studies (AA - All Tracks),20 or Younger,MCPS,Silver Spring,MD,20906,Montgomery,Albert Einstein HS & MC Art Cn
871,2015,Continuing,Full-Time,Female,Hispanic,White,No,Yes,No,Day Only,General Studies (AA - All Tracks),20 or Younger,MCPS,Silver Spring,MD,20906,Montgomery,Walter Johnson High School
872,2015,Continuing,Full-Time,Male,Not Hispanic,Black,No,Yes,Yes,Day & Evening,Engineering Science (AA & AS - All Tracks),20 or Younger,Foreign Country,Hyattsville,MD,20785,Prince George's,
873,2015,Continuing,Part-Time,Male,Not Hispanic,Asian,No,Yes,No,Evening Only,Credit (Undeclared / Undecided),25 - 29,GED,Rockville,MD,20850,Montgomery,
874,2015,Continuing,Full-Time,Male,Hispanic,White,Yes,Yes,No,Day Only,General Studies (AA - All Tracks),20 or Younger,MCPS,Gaithersburg,MD,20877,Montgomery,Colonel Zadok Magruder HS
875,2015,Continuing,Full-Time,Male,Hispanic,White,Yes,Yes,No,Day Only,General Studies (AA - All Tracks),20 or Younger,MCPS,Gaithersburg,MD,20877,Montgomery,Colonel Zadok Magruder HS
876,2015,Continuing,Part-Time,Male,Hispanic,Hispanic,Yes,Yes,No,Day & Evening,Credit (Undeclared / Undecided),21 - 24,MCPS,Gaithersburg,MD,20882,Montgomery,Damascus High School
877,2015,Continuing,Part-Time,Female,Hispanic,White,No,Yes,No,Day & Evening,Criminal Justice (AA & AAS),21 - 24,Other State,Silver Spring,MD,20903,Montgomery,
878,2015,New,Part-Time,Female,Not Hispanic,White,No,Yes,No,Day Only,Education / Teacher Education (AA & AAT),20 or Younger,MCPS,Rockville,MD,20850,Montgomery,Clarksburg High School
879,2015,Continuing,Part-Time,Female,Hispanic,Black,No,Yes,No,Day Only,Health Sciences (Pre-Clinical Studies),20 or Younger,MCPS,Montgomery Village,MD,20886,Montgomery,Richard Montgomery High School
880,2015,Continuing,Part-Time,Male,Hispanic,Hispanic,No,Yes,No,Day Only,Business / International Business (AA),25 - 29,Foreign Country,Gaithersburg,MD,20878,Montgomery,
881,2015,Continuing,Full-Time,Female,Not Hispanic,Black,No,Yes,No,Day Only,Science (AS - All Tracks),20 or Younger,MCPS,Gaithersburg,MD,20877,Montgomery,Colonel Zadok Magruder HS
882,2015,New,Full-Time,Female,Not Hispanic,Asian,No,Yes,No,Day Only,General Studies (AA - All Tracks),20 or Younger,MCPS,Rockville,MD,20851,Montgomery,Richard Montgomery High School
883,2015,Continuing,Part-Time,Female,Not Hispanic,Black,No,No,Yes,Day Only,Nursing (AA & AAS),30 or Older,Foreign Country,Silver Spring,MD,20906,Montgomery,
884,2015,Continuing,Part-Time,Female,Not Hispanic,Black,No,No,Yes,Day Only,Nursing (AA & AAS),30 or Older,Foreign Country,Silver Spring,MD,20906,Montgomery,
885,2015,Continuing,Part-Time,Female,Not Hispanic,Black,No,No,Yes,Day Only,Nursing (AA & AAS),30 or Older,Foreign Country,Silver Spring,MD,20906,Montgomery,
886,2015,Continuing,Part-Time,Female,Not Hispanic,Black,No,No,Yes,Day Only,Nursing (AA & AAS),30 or Older,Foreign Country,Silver Spring,MD,20906,Montgomery,
887,2015,Continuing,Part-Time,Female,Not Hispanic,Black,No,No,Yes,Day Only,Nursing (AA & AAS),30 or Older,Foreign Country,Silver Spring,MD,20906,Montgomery,
888,2015,Continuing,Part-Time,Female,Not Hispanic,Black,No,No,Yes,Day Only,Nursing (AA & AAS),30 or Older,Foreign Country,Silver Spring,MD,20906,Montgomery,
889,2015,Continuing,Part-Time,Female,Not Hispanic,Asian,Yes,Yes,No,Day Only,Studio Art (AFA) - School of Art & Design,21 - 24,Home-Schooled,Germantown,MD,20874,Montgomery,
890,2015,Continuing,Part-Time,Female,Not Hispanic,White,No,Yes,No,Day & Evening,General Studies (AA - All Tracks),21 - 24,Other State,Derwood,MD,20855,Montgomery,
891,2015,Continuing,Part-Time,Female,Not Hispanic,Black,No,Yes,No,Evening Only,Health Sciences (Pre-Clinical Studies),30 or Older,Foreign Country,Silver Spring,MD,20902,Montgomery,
892,2015,Continuing,Full-Time,Male,Not Hispanic,Black,No,No,Yes,Day Only,Digital Media & Web Technology (CT),20 or Younger,MCPS,Burtonsville,MD,20866,Montgomery,Paint Branch High School
893,2015,Continuing,Part-Time,Female,Not Hispanic,Black,Yes,Yes,No,Day & Evening,Health Sciences (Pre-Clinical Studies),20 or Younger,MCPS,Germantown,MD,20876,Montgomery,Clarksburg High School
894,2015,New,Full-Time,Female,Not Hispanic,Black,Yes,No,No,Day Only,General Studies (AA - All Tracks),20 or Younger,MCPS,Germantown,MD,20874,Montgomery,Northwest HS - Germantown
895,2015,Continuing,Full-Time,Female,Not Hispanic,Black,No,No,Yes,Day Only,Engineering Science (AA & AS - All Tracks),21 - 24,Foreign Country,Silver Spring,MD,20910,Montgomery,
896,2015,Continuing,Part-Time,Female,Not Hispanic,Black,No,No,Yes,No Specific Time[online],Health Sciences (Pre-Clinical Studies),30 or Older,Foreign Country,Germantown,MD,20874,Montgomery,
897,2015,Continuing,Part-Time,Female,Not Hispanic,White,No,Yes,No,No Specific Time[online],Credit (Undeclared / Undecided),30 or Older,Foreign Country,North Potomac,MD,20878,Montgomery,
898,2015,Transfer with degree,Part-Time,Female,Not Hispanic,Black,No,No,Yes,Day Only,General Studies (AA - All Tracks),30 or Older,Foreign Country,Laurel,MD,20708,Prince George's,
899,2015,Continuing,Part-Time,Female,Not Hispanic,Black,No,Yes,Yes,Day Only,Science (AS - All Tracks),20 or Younger,Other Maryland,College Park,MD,20740,Prince George's,
900,2015,Continuing,Part-Time,Female,Not Hispanic,White,Yes,Yes,No,Day & Evening,Health Sciences (Pre-Clinical Studies),25 - 29,Other State,Gaithersburg,MD,20878,Montgomery,
901,2015,Continuing,Part-Time,Female,Not Hispanic,White,No,Yes,Yes,Day Only,Arts & Sciences Transfer (AA - All Tracks),21 - 24,MCPS,Rockville,MD,20852,Montgomery,Walter Johnson High School
902,2015,Transfer no degree,Full-Time,Male,Not Hispanic,White,No,No,Yes,Day Only,General Studies (AA - All Tracks),20 or Younger,MCPS,Silver Spring,MD,20901,Montgomery,Northwood High School
903,2015,HS Student,Part-Time,Male,Not Hispanic,White,Yes,No,No,Day Only,Business / International Business (AA),20 or Younger,MCPS,Germantown,MD,20874,Montgomery,Northwest HS - Germantown
904,2015,Continuing,Part-Time,Female,Not Hispanic,White,No,Yes,No,Day Only,General Studies (AA - All Tracks),30 or Older,MCPS,Gaithersburg,MD,20878,Montgomery,Springbrook Sr High School
905,2015,Continuing,Full-Time,Female,Not Hispanic,Black,No,No,Yes,Day Only,Health Sciences (Pre-Clinical Studies),21 - 24,Foreign Country,Burtonsville,MD,20866,Montgomery,
906,2015,Continuing,Full-Time,Female,Not Hispanic,Black,No,No,Yes,Day Only,Health Sciences (Pre-Clinical Studies),21 - 24,Foreign Country,Burtonsville,MD,20866,Montgomery,
907,2015,Continuing,Part-Time,Female,Not Hispanic,White,No,No,Yes,Day Only,Nursing (AA & AAS),30 or Older,Foreign Country,Gaithersburg,MD,20879,Montgomery,
908,2015,Continuing,Full-Time,Female,Not Hispanic,Black,Yes,Yes,No,Day & Evening,Business / International Business (AA),21 - 24,MCPS,Germantown,MD,20874,Montgomery,Seneca Valley High School
909,2015,Continuing,Part-Time,Male,Not Hispanic,Asian,No,No,Yes,Day Only,Business / International Business (AA),20 or Younger,Other State,Cheverly,MD,20785,Prince George's,
910,2015,Continuing,Part-Time,Female,Hispanic,Hispanic,Yes,No,No,Day Only,Arts & Sciences Transfer (AA - All Tracks),21 - 24,MCPS,Gaithersburg,MD,20877,Montgomery,Gaithersburg High School
911,2015,New,Full-Time,Male,Not Hispanic,Asian,No,Yes,No,Day Only,Accounting (AA & AAS),20 or Younger,Other State,Washington,DC,20001,Other,
912,2015,New,Part-Time,Female,Hispanic,Native American,No,No,Yes,Day Only,General Studies (AA - All Tracks),20 or Younger,Other Maryland,Hyattsville,MD,20782,Prince George's,
913,2015,Continuing,Part-Time,Female,Hispanic,Hispanic,No,Yes,No,Evening Only,Credit (Undeclared / Undecided),21 - 24,Foreign Country,Potomac,MD,20854,Montgomery,
914,2015,Continuing,Part-Time,Female,Not Hispanic,Black,No,No,Yes,Day Only,Nursing (AA & AAS),30 or Older,Other State,Upper Marlboro,MD,20774,Prince George's,
915,2015,Continuing,Part-Time,Male,Not Hispanic,White,Yes,No,No,Day Only,Cybersecurity (AAS),30 or Older,MCPS,Rockville,MD,20850,Montgomery,Thomas Sprigg Wootton High Sch
916,2015,Continuing,Part-Time,Male,Not Hispanic,White,Yes,No,No,Day & Evening,General Studies (AA - All Tracks),20 or Younger,Other State,Germantown,MD,20874,Montgomery,
917,2015,HS Student,Part-Time,Female,Not Hispanic,White,No,No,Yes,Evening Only,General Studies (AA - All Tracks),21 - 24,Other State,Chevy Chase,MD,20815,Montgomery,
918,2015,Continuing,Part-Time,Male,Not Hispanic,Asian,Yes,No,No,Day Only,General Studies (AA - All Tracks),25 - 29,MCPS,Potomac,MD,20854,Montgomery,Winston Churchill High School
